Date;Price
31/12/2019;3 830,74
02/01/2020;3 873,76
03/01/2020;3 864,68
06/01/2020;3 857,07
07/01/2020;3 874,21
08/01/2020;3 890,33
09/01/2020;3 930,04
10/01/2020;3 929,18
13/01/2020;3 948,91
14/01/2020;3 951,15
15/01/2020;3 949,98
16/01/2020;3 976,26
17/01/2020;4 011,22
21/01/2020;3 997,18
22/01/2020;4 012,10
23/01/2020;4 013,27
24/01/2020;4 003,99
27/01/2020;3 943,23
28/01/2020;3 974,21
29/01/2020;3 980,92
30/01/2020;3 955,13
31/01/2020;3 875,29
03/02/2020;3 910,64
04/02/2020;3 980,77
05/02/2020;4 022,39
06/02/2020;4 054,00
07/02/2020;4 033,52
10/02/2020;4 065,85
11/02/2020;4 080,44
12/02/2020;4 113,73
13/02/2020;4 124,04
14/02/2020;4 132,18
18/02/2020;4 122,72
19/02/2020;4 161,29
20/02/2020;4 132,83
21/02/2020;4 076,03
24/02/2020;3 948,35
25/02/2020;3 855,73
26/02/2020;3 841,26
27/02/2020;3 668,69
28/02/2020;3 624,76
02/03/2020;3 698,19
03/03/2020;3 633,66
04/03/2020;3 753,89
05/03/2020;3 667,93
06/03/2020;3 562,12
09/03/2020;3 302,62
10/03/2020;3 430,71
11/03/2020;3 321,01
12/03/2020;3 079,50
13/03/2020;3 254,38
16/03/2020;2 936,91
17/03/2020;3 099,15
18/03/2020;3 003,21
19/03/2020;3 055,28
20/03/2020;2 991,42
23/03/2020;2 891,69
24/03/2020;3 119,17
25/03/2020;3 161,53
26/03/2020;3 255,54
27/03/2020;3 168,69
30/03/2020;3 260,22
31/03/2020;3 256,35
01/04/2020;3 153,88
02/04/2020;3 219,47
03/04/2020;3 203,47
06/04/2020;3 388,81
07/04/2020;3 374,21
08/04/2020;3 453,10
09/04/2020;3 463,23
13/04/2020;3 461,06
14/04/2020;3 543,68
15/04/2020;3 503,09
16/04/2020;3 542,46
17/04/2020;3 611,86
20/04/2020;3 582,75
21/04/2020;3 480,58
22/04/2020;3 569,69
23/04/2020;3 574,75
24/04/2020;3 607,95
27/04/2020;3 650,93
28/04/2020;3 638,34
29/04/2020;3 712,31
30/04/2020;3 659,70
01/05/2020;3 570,43
04/05/2020;3 594,92
05/05/2020;3 665,43
06/05/2020;3 679,88
07/05/2020;3 720,83
08/05/2020;3 746,73
11/05/2020;3 778,92
12/05/2020;3 715,71
13/05/2020;3 679,30
14/05/2020;3 690,49
15/05/2020;3 711,73
18/05/2020;3 787,58
19/05/2020;3 748,76
20/05/2020;3 791,47
21/05/2020;3 780,40
22/05/2020;3 792,23
26/05/2020;3 804,56
27/05/2020;3 819,21
28/05/2020;3 812,88
29/05/2020;3 814,91
01/06/2020;3 834,22
02/06/2020;3 851,41
03/06/2020;3 879,56
04/06/2020;3 818,49
05/06/2020;3 895,72
08/06/2020;3 918,03
09/06/2020;3 895,39
10/06/2020;3 912,62
11/06/2020;3 733,09
12/06/2020;3 791,72
15/06/2020;3 791,99
16/06/2020;3 887,73
17/06/2020;3 903,20
18/06/2020;3 903,70
19/06/2020;3 916,95
22/06/2020;3 917,41
23/06/2020;3 922,82
24/06/2020;3 859,09
25/06/2020;3 902,94
26/06/2020;3 850,40
29/06/2020;3 862,88
30/06/2020;3 916,06
01/07/2020;3 921,16
02/07/2020;3 967,91
06/07/2020;4 006,93
07/07/2020;3 993,39
08/07/2020;4 009,44
09/07/2020;4 023,38
10/07/2020;4 024,39
